Student ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name,M89 Stu Recent Math Placement ,CMPL CREDS UG,Degree,Degree Desc,Majors,Major,Date**
1288094,BUMDS,BUBMDS.BS,20/SP,MA-050,MA-050-01,N,B,A,A,0,Coffey,MATH.1,75,,,,,
1288094,BUMDS,BUBMDS.BS,20/SA,MA-105,MA-105-A01,N,,C+,C+,3,Zak,MATH.1,75,,,,,
1288094,BUMDS,BUBMDS.BS,20/FA,MA-117,MA-117-03,N,B,A-,A-,3,Rizzuto,MATH.1,75,,,,,
1183106,CO,CO.MSP.BA,17/FA,MA-050,MA-050-50,N,NR,C,C,0,Kallas,MATH.1,139,,,,,
1183106,CO,CO.MSP.BA,19/FA,MA-203,MA-203-03,N,B+,A,A,3,Wacha,MATH.1,139,,,,,
549689,,,04/S3,MA-050,MA-050-E1,N,,A,A,0,Fure,MATH.1,151,BS,Bachelor of Science,BUBA,Business Administration,5/1/2009
549689,,,04/FA,MA-105,MA-105-Q1,N,A,A,A,3,Swartz,MATH.1,151,BS,Bachelor of Science,BUBA,Business Administration,5/1/2009
549689,,,05/FA,MA-117,MA-117-04,N,A-,A-,A-,3,Marshall,MATH.1,151,BS,Bachelor of Science,BUBA,Business Administration,5/1/2009
549689,,,07/SP,MA-118,MA-118-05,N,B+,A-,A-,3,Liu,MATH.1,151,BS,Bachelor of Science,BUBA,Business Administration,5/1/2009
403424,,,99/FA,MA-050,MA-050-01,A,B,B,B,0,Morfogenis,MATH.1,146,BA,Bachelor of Arts,AR,Art,1/1/2004
,,,,,,,,,,,,,,,,ED,Education,
403424,,,02/SP,MA-103,MA-103-01,N,C+,B-,B-,3,Bellisio,MATH.1,146,BA,Bachelor of Arts,AR,Art,1/1/2004
,,,,,,,,,,,,,,,,ED,Education,
1043712,,,15/FA,MA-100,MA-100-01,N,B-,C+,C+,3,Coffey,MATH.1,121,BA,Bachelor of Arts,MU,Music,1/14/2022
675582,,,07/FA,MA-050,MA-050-02,N,C-,C-,C-,0,Ralli,MATH.1,133,BS,Bachelor of Science,BUBK,Business Administration,1/1/2012
675582,,,08/SP,MA-105,MA-105-05,N,C+,D,D,3,Bastian,MATH.1,133,BS,Bachelor of Science,BUBK,Business Administration,1/1/2012
