New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
874647,,3.718,0,,MA-050,NC,,MATH.4
874647,,3.718,0,,MA-101,NC,,MATH.4
874647,,3.718,0,,MA-109,NC,,MATH.4
874647,,3.718,0,,MA-115,NC,,MATH.4
874647,,3.718,2012,12/FA,MA-125,N,B+,MATH.4
1088300,,3.736,0,,MA-050,NC,,MATH.4
1088300,,3.736,0,,MA-101,NC,,MATH.4
1088300,,3.736,0,,MA-109,NC,,MATH.4
1088300,,3.736,0,,MA-115,NC,,MATH.4
1088300,,3.736,2016,16/FA,MA-125,N,A,MATH.4
893312,,3.403,0,,MA-050,NC,,MATH.4
893312,,3.403,0,,MA-101,NC,,MATH.4
893312,,3.403,0,,MA-109,NC,,MATH.4
893312,,3.403,0,,MA-115,NC,,MATH.4
893312,,3.403,2012,12/FA,MA-125,W,W,MATH.4
893312,,3.403,2012,13/SP,MA-125,N,B+,MATH.4
1107450,CS,3.113,0,,MA-050,NC,,MATH.4
1107450,CS,3.113,0,,MA-101,NC,,MATH.4
1107450,CS,3.113,0,,MA-109,NC,,MATH.4
1107450,CS,3.113,0,,MA-115,NC,,MATH.4
1107450,CS,3.113,2016,16/FA,MA-125,N,D,MATH.4
1107450,CS,3.113,2016,17/SP,MA-125,N,C-,MATH.4
1253286,,3.969,0,,MA-050,NC,,MATH.4
1253286,,3.969,0,,MA-101,NC,,MATH.4
1253286,,3.969,0,,MA-109,NC,,MATH.4
1253286,,3.969,0,,MA-115,NC,,MATH.4
1253286,,3.969,2018,18/FA,MA-125,N,A,MATH.4
954112,,3.477,0,,MA-050,NC,,MATH.2
954112,,3.477,2014,15/SP,MA-109,N,A,MATH.2
954112,,3.477,2015,15/FA,MA-125,N,B+,MATH.2
1071866,,3.465,0,,MA-050,NC,,MATH.4
1071866,,3.465,0,,MA-101,NC,,MATH.4
1071866,,3.465,0,,MA-109,NC,,MATH.4
1071866,,3.465,0,,MA-115,NC,,MATH.4
1071866,,3.465,2015,15/FA,MA-125,N,C,MATH.4
1115725,MA,3.703,0,,MA-050,NC,,MATH.4
,EDE,,,,,,,
1115725,MA,3.703,0,,MA-101,NC,,MATH.4
,EDE,,,,,,,
1115725,MA,3.703,0,,MA-109,NC,,MATH.4
,EDE,,,,,,,
1115725,MA,3.703,0,,MA-115,NC,,MATH.4
,EDE,,,,,,,
1115725,MA,3.703,2018,18/FA,MA-125,N,B,MATH.4
,EDE,,,,,,,
953134,,3.352,0,,MA-050,NC,,MATH.4
953134,,3.352,0,,MA-101,NC,,MATH.4
953134,,3.352,0,,MA-109,NC,,MATH.4
953134,,3.352,0,,MA-115,NC,,MATH.4
953134,,3.352,2014,14/FA,MA-125,N,B,MATH.4
832493,,3.595,0,,MA-050,NC,,MATH.4
832493,,3.595,0,,MA-101,NC,,MATH.4
832493,,3.595,0,,MA-109,NC,,MATH.4
832493,,3.595,0,,MA-115,NC,,MATH.4
832493,,3.595,2011,11/FA,MA-125,D,W,MATH.4
774856,,3.569,0,,MA-050,NC,,MATH.4
774856,,3.569,0,,MA-101,NC,,MATH.4
774856,,3.569,0,,MA-109,NC,,MATH.4
774856,,3.569,0,,MA-115,NC,,MATH.4
774856,,3.569,2010,10/FA,MA-125,N,A,MATH.4
887140,,3.711,0,,MA-050,NC,,MATH.4
887140,,3.711,0,,MA-101,NC,,MATH.4
887140,,3.711,0,,MA-050,NC,,MATH.4
887140,,3.711,0,,MA-101,NC,,MATH.4
887140,,3.711,0,,MA-109,NC,,MATH.4
887140,,3.711,0,,MA-115,NC,,MATH.4
887140,,3.711,2012,12/FA,MA-125,A,B-,MATH.4
950524,,2.499,0,,MA-050,NC,,MATH.3
950524,,2.499,0,,MA-101,NC,,MATH.3
950524,,2.499,2013,13/FA,MA-109,N,C,MATH.3
950524,,2.499,2013,14/SP,MA-125,N,F,MATH.3
950524,,2.499,2014,14/FA,MA-105,N,A-,MATH.3
950524,,2.499,2014,14/FA,MA-125,N,C-,MATH.3
761340,,3.659,0,,MA-050,NC,,MATH.4
761340,,3.659,0,,MA-101,NC,,MATH.4
761340,,3.659,0,,MA-109,NC,,MATH.4
761340,,3.659,0,,MA-115,NC,,MATH.4
761340,,3.659,2011,12/SP,MA-125,N,A,MATH.4
616087,,2.205,2010,10/FA,MA-101,TR,T,
616087,,2.205,2010,11/SP,MA-125,N,A-,
616087,,2.205,2010,10/FA,MA-109,N,A-,
1205984,MA,3.76,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1205984,MA,3.76,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1205984,MA,3.76,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1205984,MA,3.76,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1205984,MA,3.76,2018,18/FA,MA-125,N,A-,MATH.4
,HON,,,,,,,
1120830,,2.82,0,,MA-050,NC,,MATH.3
1120830,,2.82,0,,MA-101,NC,,MATH.3
1120830,,2.82,2016,17/SP,MA-109,N,C-,MATH.3
1120830,,2.82,2017,17/FA,MA-125,N,D+,MATH.3
1120830,,2.82,2018,18/FA,MA-125,D,W,MATH.3
1120830,,2.82,2018,19/SB,MA-125,N,F,MATH.3
1120830,,2.82,2019,20/SB,MA-125,N,B+,MATH.3
